date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Bihar,10,Arwal,611,567,652,123,75461,0,822,516,838,852,2058,40892,29551,10833,40780,112,77567,117,7605,8309,7302,33801,18894,10585,1998,3068,5,31,15701,15654
01-04-2023,Bihar,10,Aurangabad,189,1406,1407,1381,197108,0,2464,1586,2520,2734,4754,109089,75809,30715,108105,984,203686,194,17918,20261,17593,84732,49221,28960,5421,8613,11,150,7312,6522
01-04-2023,Bihar,10,Bhagalpur,192,1984,1791,1371,280516,0,2946,1995,3054,3071,6752,151299,107061,40025,150578,721,286422,226,25657,27861,21887,111718,64174,36313,8555,12755,17,115,47807,47725
01-04-2023,Bihar,10,Banka,190,1064,972,1169,217819,0,2275,1429,2294,2327,6167,115113,84839,24344,114118,995,224920,151,23065,20262,20830,85009,41114,20852,7669,11132,11,86,41442,41378
01-04-2023,Bihar,10,Begusarai,191,1817,2039,490,289347,0,3144,1761,3254,3354,5682,159028,110791,36175,157697,1331,294419,782,30343,25901,23996,110938,56599,30698,7620,11298,18,121,20057,20012
01-04-2023,Bihar,10,Bhojpur,193,1857,2106,479,232710,0,2852,1564,2965,2991,5182,125782,93358,26560,124738,1044,239913,677,25636,21936,20689,93503,47178,25242,6571,9020,15,116,40726,40659
01-04-2023,Bihar,10,Buxar,194,1145,1309,380,146482,0,1810,1316,1858,1944,4167,77721,56653,22723,76532,1189,151621,46,13041,17685,13371,64418,38006,20321,5683,7397,10,73,14577,14555
01-04-2023,Bihar,10,Darbhanga,195,2957,2729,636,349222,0,3994,1707,4363,4477,6271,192264,139586,26134,191105,1159,357141,1069,40011,23505,26822,112754,45921,22416,7860,11160,19,168,34684,34382
01-04-2023,Bihar,10,Purbi Champaran,213,3509,3322,497,430658,0,5121,2809,5375,5583,10041,225930,168067,42715,221484,4446,434961,362,50055,35301,40655,165088,74378,39077,13091,17832,28,194,68776,68365
01-04-2023,Bihar,10,Gaya,196,2243,2167,2157,365560,0,4379,1407,4553,4611,5933,204423,144628,21181,203581,842,372951,1064,42624,18309,20884,100867,37359,19050,6736,11231,25,172,31530,31129
01-04-2023,Bihar,10,Gopalganj,197,1669,1475,1218,230782,0,2856,1723,2986,3020,5606,127181,88276,26395,126085,1096,236322,396,22492,22202,20241,89953,47220,25018,6718,8541,14,110,22466,22193
01-04-2023,Bihar,10,Jehanabad,199,838,920,634,99405,0,1250,801,1255,1278,2475,52227,39869,15649,51759,468,102096,71,8710,12188,8946,45041,27385,15197,3108,4417,7,70,293,293
01-04-2023,Bihar,10,Jamui,198,962,1072,766,178534,0,1831,1142,1904,1949,5288,92033,70054,19343,91591,442,183497,224,17713,13057,13149,61634,30772,17715,7060,9062,10,98,34340,34331
01-04-2023,Bihar,10,Kaimur (bhabua),200,969,996,683,146269,0,1711,865,1752,1765,3100,79319,58312,17479,78738,581,151260,111,14390,15022,12603,58978,31985,16963,4374,6155,11,67,23565,23422
01-04-2023,Bihar,10,Katihar,201,1938,1923,942,353324,0,3307,2177,3282,3399,10963,181554,139353,44403,180420,1134,359494,469,32305,30082,27264,133217,73648,43566,11724,15900,16,120,60770,60207
01-04-2023,Bihar,10,Khagaria,202,1176,1188,293,176996,0,1718,918,1765,1776,4420,97541,67990,14372,96746,795,182345,101,21974,14907,15037,65301,28290,13383,5158,7236,7,64,30341,29773
01-04-2023,Bihar,10,Kishanganj,203,1010,1367,838,193639,0,1846,1247,1868,1890,7917,99286,72926,17613,98720,566,198442,190,18461,15604,14553,65249,32235,16631,8932,9381,7,64,53345,53147
01-04-2023,Bihar,10,Lakhisarai,204,770,729,247,92359,0,1169,682,1176,1187,1747,52391,33596,13110,52094,297,93719,67,10036,8812,8268,39028,20724,11912,2361,3624,6,41,10054,10021
01-04-2023,Bihar,10,Madhepura,205,1048,833,391,192243,0,2181,1200,2241,2254,4678,101227,78068,21403,100154,1073,200224,238,19744,17432,15449,71127,35934,18502,6269,9982,13,77,20627,20425
01-04-2023,Bihar,10,Madhubani,206,2859,2613,980,390347,0,4594,2709,4886,5147,14013,202155,161763,43942,197784,4371,418091,335,38131,33923,32447,145050,74472,40549,17221,22939,21,194,118904,118253
01-04-2023,Bihar,10,Munger,207,1292,1393,516,159700,0,1597,1225,1575,1598,3719,88160,62148,25553,87836,324,164081,277,14243,15468,12216,66250,39791,24323,4133,5921,10,57,10108,10089
01-04-2023,Bihar,10,Muzaffarpur,208,3733,3245,1317,481563,0,5501,3579,5557,5610,10576,259248,188594,47929,257653,1595,487004,871,52673,38451,40571,177631,84387,45936,11621,16965,17,197,74315,74065
01-04-2023,Bihar,10,Nalanda,209,2211,2219,1153,297858,0,3292,978,3368,3414,6680,156246,119419,15783,154618,1628,304655,434,30031,42948,35046,122222,57145,14197,9299,13011,20,127,51318,51195
01-04-2023,Bihar,10,Nawada,210,1542,1272,1073,202749,0,2460,1275,2527,2647,4845,110801,80184,33569,110061,740,209842,160,17943,18618,14841,83864,51080,32462,5842,8170,14,96,34846,33487
01-04-2023,Bihar,10,Patna,212,4001,3863,922,431746,0,4985,3003,5192,5262,9270,230406,173152,55873,228490,1916,443341,664,44129,42081,38050,175807,93628,51547,12395,18118,23,198,71003,70743
01-04-2023,Bihar,10,Purnia,214,2138,2202,947,302466,0,3385,2014,3427,3433,5998,162257,120408,33246,161340,917,311231,686,31607,30561,27528,119854,60719,30158,9588,12980,15,127,21312,21235
01-04-2023,Bihar,10,Rohtas,215,2085,2382,1154,284409,0,3229,673,3368,3388,7424,152304,108198,10599,151162,1142,288440,131,27662,41944,35463,115168,52043,10099,8858,11656,20,121,50386,50243
01-04-2023,Bihar,10,Samastipur,217,3435,3048,1237,421422,0,4823,3185,4899,4952,11157,222985,169906,64285,221004,1981,437307,1060,39855,39813,32219,169845,97771,57958,13628,19631,20,271,65266,65165
01-04-2023,Bihar,10,Saharsa,216,844,1071,276,187063,0,1860,655,2045,2090,4708,103595,74298,13389,102652,943,195764,422,16421,10940,9921,50191,23849,12909,5582,7581,11,76,14586,14539
01-04-2023,Bihar,10,Saran,218,3268,3075,632,368502,0,4302,2468,4511,4633,11636,189281,150381,32972,187614,1667,380446,339,41689,27592,28480,127284,57115,29523,12265,16883,21,169,61558,61374
01-04-2023,Bihar,10,Sheikhpura,219,482,480,239,67060,0,712,595,712,716,1690,35599,25071,10627,35471,128,69040,218,5926,6486,4972,27732,16834,10348,2981,3699,6,27,15303,15301
